CustomerKey,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age
11181,M,M,170000,2,3,1,2,0-1 Miles,North America,72
11182,S,F,70000,4,0,1,2,10+ Miles,North America,71
11183,S,F,70000,4,0,1,2,10+ Miles,North America,71
11184,S,F,70000,4,0,1,2,10+ Miles,North America,70
11185,S,F,70000,4,0,1,2,10+ Miles,North America,70
11186,S,F,70000,4,0,1,2,10+ Miles,North America,71
11187,M,F,60000,4,0,1,2,10+ Miles,North America,71
11188,M,F,60000,4,0,0,2,1-2 Miles,North America,71
11189,S,M,60000,4,0,1,2,10+ Miles,North America,71
11190,M,M,70000,5,0,1,2,10+ Miles,North America,71
11191,S,F,70000,5,0,1,3,10+ Miles,North America,69
11192,M,M,60000,4,0,1,2,2-5 Miles,North America,69
11193,M,M,60000,4,0,1,2,2-5 Miles,North America,70
11194,M,F,60000,4,0,1,2,2-5 Miles,North America,70
11195,M,F,60000,5,0,1,3,10+ Miles,North America,69
11196,M,M,60000,5,0,1,3,10+ Miles,North America,69
11197,M,F,70000,3,1,0,1,1-2 Miles,North America,69
11198,S,F,70000,4,1,1,1,10+ Miles,North America,68
11199,M,F,70000,4,1,1,1,10+ Miles,North America,68
11200,M,M,70000,4,1,1,1,1-2 Miles,North America,67
11201,M,F,70000,4,1,1,1,10+ Miles,North America,68
11202,M,F,80000,5,0,0,2,1-2 Miles,North America,68
11203,M,M,40000,2,1,1,2,10+ Miles,North America,67
11204,M,F,40000,2,1,1,2,2-5 Miles,North America,67
11205,M,F,40000,2,1,1,2,10+ Miles,North America,67
11206,M,M,60000,2,1,1,1,10+ Miles,North America,66
11207,S,F,60000,2,1,1,1,10+ Miles,North America,67
11208,M,F,60000,2,1,1,0,10+ Miles,North America,67
11209,M,F,60000,2,1,1,0,10+ Miles,North America,67
11210,M,M,70000,4,1,1,2,10+ Miles,North America,67
11211,M,F,40000,2,1,1,2,2-5 Miles,North America,65
11212,M,F,40000,2,1,1,2,2-5 Miles,North America,65
11213,S,F,60000,2,1,1,2,10+ Miles,North America,66
11214,S,M,60000,2,1,1,2,10+ Miles,North America,65
11215,M,F,40000,2,1,1,2,10+ Miles,North America,65
11216,S,F,60000,2,1,1,2,10+ Miles,North America,65
11217,S,F,60000,2,1,1,2,10+ Miles,North America,65
11218,S,F,60000,2,1,0,2,2-5 Miles,North America,65
11219,M,M,60000,2,1,1,2,10+ Miles,North America,64
11220,M,F,60000,2,1,1,1,10+ Miles,North America,65
11221,M,M,70000,4,2,1,1,1-2 Miles,North America,65
11222,M,F,80000,3,1,1,1,1-2 Miles,North America,65
11223,S,F,70000,2,1,1,2,2-5 Miles,North America,63
11224,S,F,70000,2,1,1,2,10+ Miles,North America,64
11225,M,F,60000,2,1,1,1,10+ Miles,North America,64
11226,M,F,60000,2,1,1,1,2-5 Miles,North America,63
11227,S,M,60000,2,1,1,2,10+ Miles,North America,64
11228,M,F,60000,2,1,1,2,10+ Miles,North America,64
11229,S,M,70000,4,2,1,1,10+ Miles,North America,63
11230,M,F,70000,4,2,0,2,2-5 Miles,North America,64
11231,M,M,60000,2,1,1,2,10+ Miles,North America,62
11232,M,F,60000,3,1,0,2,2-5 Miles,North America,62
11233,M,M,70000,4,2,1,2,10+ Miles,North America,63
11234,S,F,70000,4,2,1,2,10+ Miles,North America,62
11235,M,M,70000,4,2,1,2,10+ Miles,North America,63
11236,S,M,70000,5,2,1,2,10+ Miles,North America,63
11237,S,M,130000,2,3,0,4,0-1 Miles,Europe,56
11238,S,F,130000,2,3,0,4,0-1 Miles,Europe,57
11239,M,F,130000,2,4,0,2,5-10 Miles,Europe,56
11240,M,F,160000,2,3,1,4,5-10 Miles,Europe,56
11241,S,F,100000,2,3,1,4,5-10 Miles,Europe,57
11242,M,M,110000,2,4,1,3,5-10 Miles,Europe,57
11243,M,F,150000,2,3,1,3,0-1 Miles,Europe,57
11244,S,F,170000,2,3,0,3,0-1 Miles,Europe,57
11245,M,M,120000,3,4,0,4,5-10 Miles,Europe,58
11246,M,F,120000,3,4,0,4,5-10 Miles,Europe,58
11247,S,F,130000,3,4,0,3,0-1 Miles,Europe,59
11248,M,M,110000,3,4,1,4,10+ Miles,Europe,60
11249,M,F,130000,3,4,1,3,0-1 Miles,Europe,60
11250,M,F,170000,3,4,1,2,5-10 Miles,Europe,60
11251,S,M,30000,4,0,0,2,5-10 Miles,North America,83
11252,S,M,90000,3,0,1,1,2-5 Miles,North America,83
11253,M,M,60000,2,0,1,2,1-2 Miles,North America,82
11254,M,M,70000,4,0,1,2,5-10 Miles,North America,82
11255,M,M,70000,4,0,1,2,5-10 Miles,North America,82
11256,M,F,70000,4,0,1,2,5-10 Miles,North America,81
11257,S,F,120000,1,2,1,4,2-5 Miles,North America,82
11258,M,M,120000,1,2,1,4,2-5 Miles,North America,82
11259,M,F,100000,4,1,1,4,2-5 Miles,North America,50
11260,M,F,110000,2,2,1,3,2-5 Miles,North America,50
11261,M,F,130000,1,2,1,1,0-1 Miles,North America,50
11262,M,F,80000,4,3,1,0,0-1 Miles,North America,51
11263,M,F,90000,5,5,1,3,2-5 Miles,North America,51
11264,S,M,90000,5,5,0,3,0-1 Miles,North America,51
11265,M,F,90000,5,5,1,3,0-1 Miles,North America,51
11266,S,F,90000,0,0,0,1,5-10 Miles,North America,51
11267,S,M,120000,4,2,1,4,2-5 Miles,North America,50
11268,M,F,130000,2,2,1,2,1-2 Miles,North America,51
11269,M,M,130000,2,2,1,2,0-1 Miles,North America,50
11270,M,M,130000,2,2,1,3,0-1 Miles,North America,51
11271,S,F,150000,2,0,0,4,1-2 Miles,North America,51
11272,S,F,70000,4,3,1,0,5-10 Miles,North America,58
11273,M,M,90000,2,1,1,0,10+ Miles,North America,58
11274,M,M,50000,2,0,1,2,5-10 Miles,North America,81
11275,M,F,80000,4,0,1,2,0-1 Miles,North America,81
11276,M,F,80000,4,3,1,2,2-5 Miles,North America,51
11277,M,M,80000,4,3,1,2,0-1 Miles,North America,52
11278,S,M,90000,0,0,0,1,10+ Miles,North America,52
11279,M,F,90000,0,0,1,1,10+ Miles,North America,52
11280,M,M,90000,0,0,1,1,10+ Miles,North America,52
11281,S,F,110000,4,2,1,4,5-10 Miles,North America,51
11282,M,M,90000,5,4,1,4,1-2 Miles,North America,53
11283,M,M,110000,1,3,1,2,1-2 Miles,North America,52
11284,M,F,110000,1,3,1,2,1-2 Miles,North America,53
11285,M,M,120000,1,3,0,4,2-5 Miles,North America,53
11286,M,M,170000,0,0,1,4,2-5 Miles,North America,53
11287,M,M,70000,5,4,0,3,5-10 Miles,North America,54
11288,M,F,110000,1,3,1,3,2-5 Miles,North America,53
11289,M,F,130000,1,3,1,1,0-1 Miles,North America,54
11290,M,F,130000,1,3,1,3,2-5 Miles,North America,54
11291,M,F,130000,1,3,1,3,2-5 Miles,North America,54
11292,S,M,150000,1,2,0,3,0-1 Miles,North America,53
11293,S,M,60000,2,0,0,2,1-2 Miles,North America,60
11294,M,M,60000,2,0,0,2,1-2 Miles,North America,60
11295,S,F,80000,2,0,1,2,5-10 Miles,North America,61
11296,S,F,50000,2,0,1,2,5-10 Miles,North America,79
11297,S,M,70000,4,0,1,2,5-10 Miles,North America,80
11298,M,M,70000,4,0,1,2,1-2 Miles,North America,80
11299,M,M,70000,4,0,1,2,1-2 Miles,North America,79
11300,M,M,80000,5,4,0,3,1-2 Miles,North America,55
11301,M,M,80000,5,4,1,4,5-10 Miles,North America,55
11302,S,M,90000,4,3,0,3,1-2 Miles,North America,54
11303,S,F,90000,4,3,0,3,1-2 Miles,North America,54
11304,M,F,100000,0,3,1,0,5-10 Miles,North America,55
11305,M,M,110000,3,3,0,4,2-5 Miles,North America,55
11306,M,M,110000,3,3,0,4,2-5 Miles,North America,55
11307,M,M,80000,2,0,1,2,5-10 Miles,North America,60
11308,M,M,60000,2,0,0,2,1-2 Miles,North America,61
11309,S,F,60000,2,0,1,2,5-10 Miles,North America,61
11310,S,F,70000,3,0,1,2,5-10 Miles,North America,62
11311,S,F,70000,3,0,0,2,1-2 Miles,North America,62
11312,S,F,70000,3,0,1,2,5-10 Miles,North America,62
11313,S,M,70000,3,0,1,2,5-10 Miles,North America,62
11314,S,F,70000,3,0,0,2,1-2 Miles,North America,61
11315,S,F,70000,3,0,0,2,1-2 Miles,North America,61
11316,M,M,60000,3,0,1,2,5-10 Miles,North America,61
11317,S,F,40000,3,0,0,2,5-10 Miles,North America,62
11318,S,F,40000,3,0,0,2,1-2 Miles,North America,62
11319,M,F,70000,4,0,0,2,1-2 Miles,North America,78
11320,M,F,80000,4,0,1,2,5-10 Miles,North America,78
11321,M,M,90000,5,0,1,2,5-10 Miles,North America,77
11322,M,F,90000,5,0,1,2,5-10 Miles,North America,77
11323,S,M,120000,2,4,1,3,5-10 Miles,North America,77
11324,M,M,90000,5,0,1,2,1-2 Miles,North America,76
11325,S,M,90000,5,0,1,2,5-10 Miles,North America,76
11326,M,M,130000,2,3,1,4,0-1 Miles,North America,76
11327,M,M,90000,5,0,1,2,5-10 Miles,North America,75
11328,M,M,90000,5,0,1,2,5-10 Miles,North America,75
11329,S,M,90000,5,0,1,2,5-10 Miles,North America,75
11330,M,M,110000,2,4,1,1,2-5 Miles,North America,75
11331,M,F,90000,4,4,1,2,1-2 Miles,North America,47
11332,S,F,10000,1,0,1,0,0-1 Miles,Europe,52
11333,M,F,20000,1,0,1,0,0-1 Miles,Europe,53
11334,M,F,10000,1,0,1,0,0-1 Miles,Europe,54
11335,M,F,10000,1,0,1,0,0-1 Miles,Europe,54
11336,M,M,20000,1,0,1,0,0-1 Miles,Europe,53
11337,M,M,10000,1,0,1,0,0-1 Miles,Europe,53
11338,M,M,20000,1,0,1,0,0-1 Miles,Europe,54
11339,S,M,20000,1,0,1,0,0-1 Miles,Europe,54
11340,M,F,10000,1,0,1,0,0-1 Miles,Europe,79
11341,M,M,20000,1,0,1,0,0-1 Miles,Europe,79
11342,M,M,30000,5,0,1,0,0-1 Miles,Europe,53
11343,M,M,10000,1,0,1,0,0-1 Miles,Europe,56
11344,M,F,10000,1,0,1,0,0-1 Miles,Europe,58
11345,S,F,10000,1,0,1,0,0-1 Miles,Europe,58
11346,S,F,10000,2,0,1,1,0-1 Miles,Europe,60
11347,M,M,10000,2,0,1,1,0-1 Miles,Europe,59
11348,M,M,10000,2,0,1,1,0-1 Miles,Europe,59
11349,M,F,10000,2,0,1,1,2-5 Miles,Europe,61
11350,M,F,30000,1,0,1,0,0-1 Miles,Europe,78
11351,S,F,20000,1,0,1,0,0-1 Miles,Europe,76
11352,M,M,10000,2,0,1,1,0-1 Miles,Europe,75
11353,S,F,30000,1,0,1,0,0-1 Miles,Europe,74
11354,M,F,20000,1,0,1,0,0-1 Miles,Europe,73
11355,M,M,40000,1,0,1,0,0-1 Miles,Europe,72
11356,S,M,10000,0,0,0,1,2-5 Miles,Pacific,35
11357,S,M,10000,0,0,0,1,2-5 Miles,Pacific,36
11358,S,F,10000,0,0,0,1,0-1 Miles,Pacific,36
11359,S,M,10000,0,0,0,1,0-1 Miles,Pacific,37
11360,S,M,10000,0,0,1,1,2-5 Miles,Pacific,37
11361,M,F,10000,0,0,1,2,0-1 Miles,Pacific,38
11362,M,M,10000,0,0,0,2,0-1 Miles,Pacific,37
11363,S,M,10000,0,0,0,2,0-1 Miles,Pacific,37
11364,S,F,10000,1,1,0,0,2-5 Miles,Pacific,35
11365,S,F,10000,1,1,0,0,1-2 Miles,Pacific,36
11366,M,F,20000,0,0,1,0,0-1 Miles,Pacific,35
11367,M,M,20000,0,0,1,0,0-1 Miles,Pacific,36
11368,S,M,10000,1,1,0,0,1-2 Miles,Pacific,36
11369,M,F,20000,0,0,0,0,0-1 Miles,Pacific,37
11370,M,F,20000,0,0,1,0,0-1 Miles,Pacific,37
11371,M,F,20000,0,0,1,0,0-1 Miles,Pacific,37
11372,S,F,20000,0,0,1,0,0-1 Miles,Pacific,37
11373,M,F,30000,1,0,1,0,0-1 Miles,Europe,71
11374,S,M,30000,1,0,1,0,0-1 Miles,Europe,72
11375,M,M,30000,1,0,1,0,0-1 Miles,Europe,72
11376,S,M,40000,1,0,1,0,0-1 Miles,Europe,72
11377,M,M,30000,4,0,1,0,0-1 Miles,Europe,54
11378,S,F,10000,1,1,0,1,2-5 Miles,Europe,55
11379,M,M,10000,1,1,1,1,2-5 Miles,Europe,55
11380,S,M,20000,2,0,1,1,1-2 Miles,Europe,56
11381,M,F,20000,2,0,1,1,2-5 Miles,Europe,56
11382,M,M,20000,2,0,1,1,2-5 Miles,Europe,57
11383,M,F,30000,3,0,1,0,0-1 Miles,Europe,55
11384,M,F,30000,3,0,1,0,0-1 Miles,Europe,54
11385,S,M,30000,3,0,1,0,0-1 Miles,Europe,55
11386,M,F,30000,3,0,1,0,0-1 Miles,Europe,54
11387,S,F,40000,3,0,1,0,0-1 Miles,Europe,56
11388,M,M,40000,3,0,1,0,0-1 Miles,Europe,56
11389,S,M,10000,1,1,0,1,2-5 Miles,Europe,45
11390,S,F,10000,1,1,0,1,2-5 Miles,Europe,44
11391,S,F,10000,2,2,1,0,0-1 Miles,Europe,44
11392,S,M,10000,2,2,1,0,0-1 Miles,Europe,45
11393,S,M,10000,2,2,1,0,0-1 Miles,Europe,46
11394,S,M,10000,2,2,1,0,0-1 Miles,Europe,45
11395,S,F,30000,0,0,1,0,0-1 Miles,Europe,44
11396,M,M,10000,2,2,0,1,0-1 Miles,Europe,45
11397,S,F,20000,0,0,0,1,0-1 Miles,Europe,46
11398,S,M,30000,0,0,1,0,0-1 Miles,Europe,46
11399,S,F,30000,1,0,1,0,0-1 Miles,Europe,46
11400,S,M,40000,0,0,1,0,0-1 Miles,Europe,46
11401,M,F,40000,0,0,1,0,0-1 Miles,Europe,46
11402,M,F,40000,0,0,1,0,0-1 Miles,Europe,45
11403,S,F,40000,0,0,1,0,0-1 Miles,Europe,46
11404,S,F,10000,3,0,0,2,0-1 Miles,Europe,63
11405,S,F,10000,3,0,0,2,0-1 Miles,Europe,63
11406,M,F,20000,2,0,1,1,2-5 Miles,Europe,63
11407,M,M,20000,2,0,1,1,0-1 Miles,Europe,63
11408,M,M,10000,2,1,0,2,0-1 Miles,Europe,62
11409,S,F,10000,2,2,1,1,0-1 Miles,Europe,47
11410,M,M,20000,1,1,1,0,2-5 Miles,Europe,47
11411,M,M,80000,3,2,0,1,2-5 Miles,Europe,61
11412,S,F,80000,4,2,1,1,10+ Miles,Europe,61
11413,M,F,80000,4,2,0,1,2-5 Miles,Europe,61
11414,S,M,80000,4,2,1,1,10+ Miles,Europe,61
11415,S,M,90000,5,0,0,2,10+ Miles,Europe,71
11416,M,F,60000,3,1,1,4,2-5 Miles,Europe,70
11417,M,F,70000,5,1,1,2,10+ Miles,Europe,70
11418,S,M,90000,5,0,0,2,10+ Miles,Europe,70
11419,M,M,150000,3,4,1,4,0-1 Miles,Europe,70
11420,M,M,100000,2,3,1,4,10+ Miles,Europe,69
11421,M,F,110000,3,4,1,4,5-10 Miles,Europe,69
11422,M,M,170000,4,4,1,3,5-10 Miles,Europe,69
11423,M,F,80000,4,2,0,1,2-5 Miles,Europe,60
11424,M,F,80000,4,2,1,2,10+ Miles,Europe,61
11425,M,F,90000,4,2,1,2,10+ Miles,Europe,61
11426,M,M,110000,3,4,1,4,10+ Miles,Europe,61
11427,M,F,110000,2,5,1,2,10+ Miles,Europe,61
11428,S,F,120000,2,5,1,2,10+ Miles,Europe,62
11429,M,M,80000,4,1,1,2,10+ Miles,Europe,63
11430,M,F,90000,4,1,1,2,10+ Miles,Europe,63
11431,M,M,110000,4,5,1,2,10+ Miles,Europe,62
11432,M,F,80000,4,2,1,2,10+ Miles,Europe,64
11433,M,M,80000,5,2,0,2,2-5 Miles,Europe,64
11434,M,M,170000,5,5,1,4,0-1 Miles,Europe,64
11435,S,F,100000,3,4,1,4,10+ Miles,Europe,65
11436,M,F,160000,3,5,0,4,10+ Miles,Europe,64
